Year,Manufacturer,Division,Car_Model,City_FE_Alternative,Hwy2 Fuel FE (Guide) - Alternative Fuel,Comb2 Fuel FE (Guide) - Alternative Fuel,Annual_Fuel_Cost_Conventional,Annual_Fuel_Cost_Alternative,Fuel_Efficiency_Rating,GHG_Rating,Savings_5Yrs,Spending_5Yrs,City_CO2,Hwy_CO2,Comb_CO2
2021,General Motors,Chevrolet,SPARK,29.0,38.0,33.0,1250,,7,7,1250.0,,303,236,273
2021,General Motors,Chevrolet,SPARK ACTIV,30.0,37.0,33.0,1250,,7,7,1250.0,,292,240,266
2021,General Motors,Chevrolet,SPARK ACTIV,29.0,37.0,32.0,1250,,7,7,1250.0,,303,240,278
2021,Ferrari,"Ferrari North America, Inc.",Roma,17.0,22.0,19.0,2550,,3,3,,5250.0,532,398,472
2021,Ford Motor Company,Ford,MUSTANG,21.0,32.0,25.0,1600,,5,5,,500.0,415,279,354
2021,Ford Motor Company,Ford,MUSTANG,21.0,32.0,25.0,1600,,5,5,,500.0,416,282,356
2021,Ford Motor Company,Ford,MUSTANG,21.0,29.0,24.0,1700,,5,5,,1000.0,429,304,373
2021,Ford Motor Company,Ford,MUSTANG,15.0,24.0,19.0,2150,,3,3,,3250.0,574,363,479
2021,Ford Motor Company,Ford,MUSTANG,15.0,24.0,18.0,2250,,3,3,,3750.0,585,367,490
2021,Ford Motor Company,Ford,MUSTANG CONVERTIBLE,20.0,28.0,23.0,1750,,5,5,,1250.0,447,314,387
2021,Ford Motor Company,Ford,MUSTANG CONVERTIBLE,20.0,28.0,23.0,1750,,5,5,,1250.0,447,313,387
2021,Ford Motor Company,Ford,MUSTANG CONVERTIBLE,20.0,27.0,23.0,1750,,5,5,,1250.0,444,330,386
2021,Ford Motor Company,Ford,MUSTANG CONVERTIBLE,15.0,23.0,18.0,2250,,3,3,,3750.0,587,379,493
2021,Ford Motor Company,Ford,MUSTANG HO CONVERTIBLE,19.0,26.0,22.0,1850,,4,4,,1750.0,467,342,404
2021,Ford Motor Company,Ford,MUSTANG HO CONVERTIBLE,19.0,25.0,21.0,1950,,4,4,,2250.0,468,351,415
2021,Ford Motor Company,Ford,MUSTANG HO COUPE,20.0,27.0,23.0,1750,,5,5,,1250.0,444,330,386
2021,Ford Motor Company,Ford,MUSTANG HO COUPE,20.0,27.0,22.0,1850,,4,4,,1750.0,451,331,397
2021,Ford Motor Company,Ford,MUSTANG MACH 1,15.0,23.0,18.0,2250,,3,3,,3750.0,574,386,494
2021,Ford Motor Company,Ford,MUSTANG MACH 1,14.0,22.0,17.0,2400,,3,3,,4500.0,627,396,523
2021,Ford Motor Company,Ford,SHELBY GT500 MUSTANG,12.0,18.0,14.0,3500,,1,1,,10000.0,754,482,631
2021,Nissan,INFINITI,Q60,19.0,28.0,22.0,2200,,4,4,,3500.0,468,315,404
2021,Nissan,INFINITI,Q60 AWD,19.0,27.0,22.0,2200,,4,4,,3500.0,464,329,403
2021,Nissan,INFINITI,Q60 AWD RED SPORT,19.0,26.0,21.0,2300,,4,4,,4000.0,468,342,423
2021,Nissan,INFINITI,Q60 RED SPORT,20.0,27.0,22.0,2200,,4,4,,3500.0,442,330,405
2021,Toyota,LEXUS,LC 500,16.0,25.0,19.0,2550,,3,3,,5250.0,567,360,473
2021,Toyota,LEXUS,LC 500h,26.0,34.0,29.0,1700,,6,6,,1000.0,336,262,303
2021,Toyota,LEXUS,RC 300,21.0,31.0,25.0,1950,,5,5,,2250.0,416,284,357
2021,Toyota,LEXUS,RC 300 AWD,19.0,26.0,22.0,2200,,4,4,,3500.0,461,340,407
2021,Toyota,LEXUS,RC 350,20.0,28.0,23.0,2100,,5,5,,3000.0,441,317,385
2021,Toyota,LEXUS,RC 350 AWD,19.0,26.0,22.0,2200,,4,4,,3500.0,461,340,407
2021,Toyota,LEXUS,RC F,16.0,24.0,19.0,2550,,3,3,,5250.0,538,361,459
2021,Mercedes-Benz,Mercedes-Benz,A 220,25.0,36.0,29.0,1700,,6,6,,1000.0,358,250,309
2021,Mercedes-Benz,Mercedes-Benz,A 220 4MATIC,25.0,34.0,28.0,1750,,6,6,,1250.0,362,260,316
2021,Mercedes-Benz,Mercedes-Benz,AMG A 35 4MATIC,22.0,29.0,25.0,1950,,5,5,,2250.0,403,308,360
